Time (years),sun Energy (J),mercury Energy (J),venus Energy (J),earth Energy (J),mars Energy (J),jupiter Energy (J),saturn Energy (J),uranus Energy (J),neptune Energy (J),System Total (J)
7.2,-3.9132259413803575e+35,-1.3133551251773358e+32,-1.7015980895125308e+33,-1.9075801067043952e+33,-1.6845935216655515e+32,-1.6227976957684574e+35,-2.6666400318986323e+34,-1.9425258653648478e+33,-1.5037189389665974e+33,-5.8762398189910045e+35
7.3,-3.913001554377628e+35,-1.3059199442530736e+32,-1.6949772026825115e+33,-1.902488428781406e+33,-1.6823817519623953e+32,-1.6225484139829155e+35,-2.666873201246558e+34,-1.942549162180374e+33,-1.5037210652351878e+33,-5.875662948770209e+35
7.4,-3.9126598104863364e+35,-1.2985984919991818e+32,-1.6887602459943874e+33,-1.897061211054885e+33,-1.6799182777187396e+32,-1.6222918844699163e+35,-2.6671052971606153e+34,-1.9425720090390253e+33,-1.5037230497694226e+33,-5.87496190660061e+35
7.5,-3.9121695969417456e+35,-1.2919350568601403e+32,-1.6829352361194993e+33,-1.891319914623146e+33,-1.677237556194769e+32,-1.6220281779522229e+35,-2.667335924083027e+34,-1.9425944217142202e+33,-1.5037249260735005e+33,-5.874106284900631e+35
7.6000000000000005,-3.911544634651347e+35,-1.2861480977944519e+32,-1.6774325019713226e+33,-1.885327181512766e+33,-1.6743704353859863e+32,-1.6217575685499806e+35,-2.667564646193368e+34,-1.9426164476251268e+33,-1.503726735777012e+33,-5.873110215022707e+35
7.7,-3.91082853197493e+35,-1.2811211824254473e+32,-1.672137510477606e+33,-1.8791708648301413e+33,-1.6713494351240294e+32,-1.6214807386917261e+35,-2.6677911257081687e+34,-1.942638148825111e+33,-1.5037285222157522e+33,-5.8720176043185095e+35
7.8,-3.910079119450791e+35,-1.2766183242540748e+32,-1.6669192639973725e+33,-1.8729536035941305e+33,-1.6682120185536566e+32,-1.6211986025861845e+35,-2.6680151908234452e+34,-1.942659584304747e+33,-1.5037303257894804e+33,-5.8708866992389844e+35
7.9,-3.909356943320711e+35,-1.2724220904181283e+32,-1.6616617858275363e+33,-1.8667857295588563e+33,-1.664999476497829e+32,-1.6209119973411397e+35,-2.6682367547201005e+34,-1.942680802975579e+33,-1.5037321830662684e+33,-5.869778642715058e+35
8.0,-3.908714535661197e+35,-1.2683599503599942e+32,-1.6562855025181792e+33,-1.8607763575728996e+33,-1.661756664695115e+32,-1.6206215494584815e+35,-2.668455708439684e+34,-1.9427018455934708e+33,-1.503734128662134e+33,-5.868746750922168e+35
8.1,-3.908188084441552e+35,-1.2642881997883295e+32,-1.650753713312721e+33,-1.855022759967995e+33,-1.658530980227955e+32,-1.6203276584987647e+35,-2.668671892822004e+34,-1.9427227498638834e+33,-1.503736198238907e+33,-5.8678281056163686e+35
8.2,-3.9077938955201886e+35,-1.2600740912716738e+32,-1.6450673786235224e+33,-1.8495995564990475e+33,-1.6553697093751855e+32,-1.6200305334073586e+35,-2.6688851186535212e+34,-1.9427435570887745e+33,-1.503738431554701e+33,-5.867039873831206e+35
8.3,-3.907529038086525e+35,-1.2555850921881782e+32,-1.639253463092083e+33,-1.8445489856071752e+33,-1.6523165964598542e+32,-1.6197303928021975e+35,-2.6690951805916028e+34,-1.9427643210416536e+33,-1.5037408745124544e+33,-5.866379927079065e+35
8.4,-3.907373473105907e+35,-1.2506879035813922e+32,-1.633353120310363e+33,-1.8398740394207558e+33,-1.6494083580102565e+32,-1.6194277408330673e+35,-2.6693018499608624e+34,-1.942785116056669e+33,-1.5037435787951423e+33,-5.865829053742481e+35
8.5,-3.9072911225109835e+35,-1.2452703679968949e+32,-1.6274166228723073e+33,-1.8355367273276694e+33,-1.646672696739951e+32,-1.6191233377273947e+35,-2.669504865186076e+34,-1.9428060370307053e+33,-1.5037465985154338e+33,-5.865351949679185e+35
8.6,-3.90723014425945e+35,-1.2393113584475692e+32,-1.62150347207734e+33,-1.8314631404540192e+33,-1.644128156054377e+32,-1.6188179437402098e+35,-2.669703955585659e+34,-1.9428271879512748e+33,-1.5037499855056886e+33,-5.864897360932611e+35
8.700000000000001,-3.907127754229376e+35,-1.2329979984124165e+32,-1.6156807001726947e+33,-1.8275551515439645e+33,-1.6417815352792056e+32,-1.6185122049234725e+35,-2.6698989111712435e+34,-1.9428486660885002e+33,-1.5037537863258328e+33,-5.864403012844973e+35
8.8,-3.906925845023141e+35,-1.2267655116815808e+32,-1.6100169438010854e+33,-1.8237063046523586e+33,-1.6396271941884736e+32,-1.6182066923413545e+35,-2.6700896405925293e+34,-1.942870553880623e+33,-1.5037580429601418e+33,-5.8638114125825595e+35
